year,color,mileage,motor,shasi,body,Insurance,price
۱۳۹۹,سفید,۶۳٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۴۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,نوک‌مدادی,۱۷۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,۲۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,نقره‌ای,۳۰۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,۲۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۸۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۲۹۲٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۱۱۱٬۱۱۱٬۱۱۱ تومان
۱۳۹۶,سفید,۱۲۳٬۰۰۰,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۲ ماه,۳۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,خاکستری,۱۹۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۲۷۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۷۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۵۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۵۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,بژ,۲۳۶٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۱۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۶۵٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۳۹۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید صدفی,۱۲۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۵۸٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۲۳٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۴۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۸۷٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,۳۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۴۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۴۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۸۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۰۹٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۰,,,سالم و بی‌خط و خش,,۱۱۱٬۱۱۱٬۱۱۱ تومان
۱۳۹۱,سفید,۱۴۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۳۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,سفید,۱۸۰٬۰۰۰,سالم,ضربه‌خورده,خط و خش جزیی,۵ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۹۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۷ ماه,۳۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۱,سفید,۱۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,۲۵۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,نوک‌مدادی,۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,۲۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۵۱٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۹۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۴۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۴۳۹٬۰۰۰٬۰۰۰ تومان
۱۴۰۲,سفید,۹٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۶۲٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,سفید,۱۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۳۶۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۶۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۱۹٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۷۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۱ ماه,۳۹۸٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۸۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,۳۹۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,سفید,۱۹۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,۲۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۶۶٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,۳۸۷٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۱۰۴٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,۴۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,نقره‌ای,۲۹۴٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۸ ماه,۲۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۷۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۰۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۴۱٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,سفید,۲۵۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۴ ماه,۲۴۸٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۲۸٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,بادمجانی,۱۳۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۳۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۵۷٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,,۳۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۱,مشکی,۴۲۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۱۸۴٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۲٬۸۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۴۹۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید صدفی,۱۷٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۱۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۳۵۷٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۲۰٬۰۰۰,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۱۱ ماه,۳۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۴۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۴۱۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۲۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۴٬۴۸۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,خاکستری,۵۱٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,۴۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۴۸٬۵۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۴۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,نقره‌ای,۲۰۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,۲۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,مشکی,۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۴۱۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۱,مشکی,۲۲۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۲۰۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,مشکی,۳۹٬۰۰۰,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۸ ماه,۴۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,مشکی,۱۹۴٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,۲۷۵٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۴۰۱,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,۵۱۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۹٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۴۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۴,سفید,۶۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,۳۸۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۴۲۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,سفید,۱۷۴٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۲۵۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۲۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,سفید صدفی,۲۱۱٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,۲۸۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,بژ,۳۰۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,۲۱۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,نوک‌مدادی,۲۰۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,۲۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,بژ,۲۱۴٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۹ ماه,۱۵۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۱۰۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۷۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۵۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,۴۲۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۷,سفید,۲۳۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,۲۴۶٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۷۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۳۹۹٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,نقره‌ای,۳۶۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۷ ماه,۲۱۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۳۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۷۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۳۸۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۲۷۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۹ ماه,۱۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۵۵٬۳۹۲,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۴ ماه,۳۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,بژ,۲۹۵٬۰۰۰,سالم,,دوررنگ,۵ ماه,۱۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۹۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۳۳۳٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۷۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۴۰۲٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,خاکستری,۲۶۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,نوک‌مدادی,۲۴۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,۲۶۵٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۹۶,سفید صدفی,۷۷٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,۲۲۲٬۲۲۲٬۲۲۲ تومان
۱۴۰۱,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,,۴۶۹٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,سفید,۲۰۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۲۸۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۶۷٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,۴۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۵,نقره‌ای,۲۷۸٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,۲۳۱٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۷۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید صدفی,۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۳۸۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۱۸٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,۴۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۱۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۶۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,سفید,۲۲۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۱ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,نقره‌ای,۱۶۶٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۲۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۹۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۳۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۴۹٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۳۶۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۳۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۵,خاکستری,۲۲۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۸ ماه,۲۱۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,خاکستری,۲۱٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۴۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۳۱۷٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,,۱۹۷٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۵۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,۴۰۸٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,خاکستری,۶۴٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,سفید,۱۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,۲۸۱٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۴۱٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۱۱۱٬۱۱۱٬۱۱۱ تومان
۱۳۸۸,سفید,۱۳۸٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۰ ماه,۲۵۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۶۲٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,بژ,۳۱۶٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,۲۰۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۲۲۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,۲۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,نقره‌ای,۲۰۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,,۱۷۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,سفید,۲۳۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,۲۷۲٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,بژ,۲۵۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۲ ماه,۱۸۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,خاکستری,۱۲۵٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,۳۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,سفید,۳۹۰٬۰۰۰,سالم,,دوررنگ,۱۲ ماه,۱۹۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,خاکستری,۳۴۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,۲۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۲۸٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۹۹٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,,۳۸۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,بژ,۳۰۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,,۲۱۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۰,,,سالم و بی‌خط و خش,,۱۱۱٬۱۱۱٬۱۱۱ تومان
۱۳۹۷,سفید,۱۵۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,,۳۵۷٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,سفید صدفی,۸۹٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,۳۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,خاکستری,۲۳۵٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,۲۱۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۱۱۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۵,نوک‌مدادی,۳۰۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۷ ماه,۱۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۵۷٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۴۲۳٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۲۵۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,۱۸۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۵۱۰٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۸۶,دلفینی,۱۷۹٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۱۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,خاکستری,۲۳۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,۲۵۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,نقره‌ای,۵۰۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۱۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۷,خاکستری,۲۴۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۲۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۱۱۱,سالم,سالم و پلمپ,تصادفی,۲ ماه,۳۲۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۷۸٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۴ ماه,۲۸۳٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,سفید,۱۲۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,۳۴۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,نقره‌ای,۲۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۵۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۴۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,۴۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,نقره‌ای,۳۳۷٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۴ ماه,۲۳۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۳۳٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۳۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۱۱۶٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,۳۸۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,نوک‌مدادی,۳۷۸٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,۲۱۵٬۰۰۰٬۰۰۰ تومان
,,,,,,,
